keyword,city,province,language,intent,volume,cpc,competition,trend_12mo,kd,serp_features,top_domains_sampled
scalp micropigmentation,National,Canada,en,Commercial,2100,2.45,0.75,0.12,45,"PAA,LocalPack","enhancedscalp.com,robjamessmp.com,ricoclinic.com"
scalp micropigmentation cost,National,Canada,en,Commercial,880,3.20,0.80,0.15,52,"PAA,AI_Overview","torontohairtransplantclinic.com,scalpmicro.ca"
scalp micropigmentation Toronto,Toronto,Ontario,en,Local,590,2.80,0.70,0.08,38,"LocalPack,PAA","enhancedscalp.com,unyozi.ca,microtechsmp.com"
scalp micropigmentation Vancouver,Vancouver,British Columbia,en,Local,420,2.95,0.65,0.10,35,"LocalPack,PAA","robjamessmp.com,vancouverinksmp.com,thebaldcure.ca"
scalp micropigmentation Montreal,Montreal,Quebec,en,Local,380,2.60,0.60,0.12,32,"LocalPack,PAA","ricoclinic.com,sopigment.com,microcapillaire.com"
scalp micropigmentation Calgary,Calgary,Alberta,en,Local,320,2.70,0.55,0.09,30,"LocalPack,PAA","inkedillusions.ca,gentlemensscalpprestige.com,scalptechinc.com"
SMP,National,Canada,en,Commercial,1650,2.30,0.70,0.18,42,"PAA","enhancedscalp.com,robjamessmp.com"
hair tattoo,National,Canada,en,Commercial,890,2.15,0.65,0.20,38,"PAA","robjamessmp.com,inkedillusions.ca"
scalp micropigmentation near me,National,Canada,en,Local,720,2.50,0.75,0.14,48,"LocalPack","enhancedscalp.com,robjamessmp.com,ricoclinic.com"
scalp micropigmentation Canada,National,Canada,en,Commercial,450,2.40,0.60,0.11,35,"PAA","scalpmicro.ca,enhancedscalp.com"
scalp micropigmentation cost Canada,National,Canada,en,Commercial,380,3.10,0.75,0.13,45,"AI_Overview","torontohairtransplantclinic.com,scalpmicro.ca"
scalp micropigmentation women,National,Canada,en,Commercial,320,2.80,0.60,0.16,28,"PAA","enhancedscalp.com,ricoclinic.com"
scalp micropigmentation before and after,National,Canada,en,Informational,280,1.95,0.50,0.22,25,"PAA","enhancedscalp.com,robjamessmp.com"
scalp micropigmentation side effects,National,Canada,en,Informational,240,1.80,0.45,0.19,22,"PAA","my.clevelandclinic.org,edgescalpink.com"
scalp micropigmentation regrets,National,Canada,en,Informational,190,1.60,0.40,0.25,20,"PAA","reddit.com,edgescalpink.com"
scalp micropigmentation course,National,Canada,en,Commercial,160,4.20,0.85,0.30,55,"PAA","enhancedscalp.com,smphair.ca"
scalp micropigmentation Edmonton,Edmonton,Alberta,en,Local,140,2.65,0.50,0.07,28,"LocalPack","scalpmicro.ca"
scalp micropigmentation Ottawa,Ottawa,Ontario,en,Local,120,2.55,0.45,0.06,25,"LocalPack",""
scalp micropigmentation Winnipeg,Winnipeg,Manitoba,en,Local,90,2.45,0.40,0.05,22,"LocalPack",""
scalp micropigmentation Halifax,Halifax,Nova Scotia,en,Local,80,2.35,0.35,0.04,20,"LocalPack",""
scalp micropigmentation Victoria,Victoria,British Columbia,en,Local,70,2.25,0.30,0.03,18,"LocalPack",""
scalp tattoo,National,Canada,en,Commercial,650,2.10,0.60,0.17,35,"PAA","robjamessmp.com,inkedillusions.ca"
micropigmentation capillaire,Montreal,Quebec,fr,Local,180,2.40,0.55,0.14,30,"LocalPack","sopigment.com,microcapillaire.com"
tricopigmentation,Montreal,Quebec,fr,Commercial,120,2.20,0.50,0.12,25,"PAA","sopigment.com"
dermopigmentation du cuir chevelu,Montreal,Quebec,fr,Commercial,90,2.10,0.45,0.10,22,"PAA","sopigment.com"
